           1           2           2           1  0.50814029999999999        1.9940370000000000E-022
           2           5           5           2  0.39050010000000002       -9.2453179999999994E-021
           1           5           5           1  0.38881840000000001        3.0906510000000003E-020
           2           6           6           2  0.38779140000000001       -1.7740659999999999E-020
           1           6           6           1  0.38620209999999999        4.7620439999999999E-022
           2           3           3           2  0.38365880000000002        1.5505170000000000E-020
           1           3           3           1  0.38211600000000001        1.7790360000000000E-020
           2           4           4           2  0.38056230000000002       -6.5335449999999999E-021
           1           4           4           1  0.37912289999999998       -1.6909520000000001E-020
           2          11          11           2  0.35853119999999999       -1.9743180000000000E-020
           1          11          11           1  0.35592410000000002        1.7738310000000001E-020
           5           6           6           5  0.35591830000000002        1.7827260000000000E-022
           2           8           8           2  0.35338989999999998       -4.8871619999999998E-020
           3           5           5           3  0.35267559999999998        1.4455810000000000E-021
           3           6           6           3  0.35198780000000002       -1.5395690000000000E-020
           4           5           5           4  0.35176940000000001        5.7965480000000004E-021
           4           6           6           4  0.35115000000000002        9.8307089999999996E-021
           1           8           8           1  0.35082289999999999       -1.5207020000000000E-020
           3           4           4           3  0.34805849999999999       -2.5071680000000000E-021
           2          17          17           2  0.31705549999999999        4.1086649999999997E-021
           1          17          17           1  0.31531460000000000       -8.2905559999999992E-021
           2          19          19           2  0.31515240000000000        8.0543780000000006E-021
           6          10          10           6  0.31375670000000000        1.3937620000000000E-022
           5          10          10           5  0.31373839999999997        5.8315949999999996E-021
           1          19          19           1  0.31348609999999999        3.5238839999999996E-021
           1          10          10           1  0.31236849999999999        5.9145119999999997E-021
           2          10          10           2  0.31235810000000003        8.5985060000000001E-021
           2          13          13           2  0.31221440000000000        1.7032710000000001E-020
           3          10          10           3  0.31209550000000003        7.9387599999999994E-021
           4          10          10           4  0.31207900000000000       -5.1856410000000001E-021
           6          12          12           6  0.31192379999999997        1.0095910000000000E-020
           5          12          12           5  0.31184630000000002        5.2494889999999998E-021
           1          13          13           1  0.31052190000000002       -6.1977489999999998E-022
           4          12          12           4  0.31035249999999998       -5.5914280000000003E-021
           3          12          12           3  0.31030700000000000       -5.8594849999999998E-022
           2          15          15           2  0.31003789999999998       -2.6226390000000000E-021
           1          12          12           1  0.30905820000000001       -8.7730679999999998E-021
           2          12          12           2  0.30897540000000001        6.1646709999999999E-021
           6           7           7           6  0.30853160000000002        7.5256440000000004E-021
           5           7           7           5  0.30848320000000001       -9.6503650000000002E-021
           1          15          15           1  0.30843039999999999        1.4901560000000001E-020
           8          11          11           8  0.30722290000000002       -3.5079420000000002E-020
           4           7           7           4  0.30704239999999999       -8.8272730000000002E-021
           3           7           7           3  0.30702230000000003       -8.0183740000000007E-021
           6           9           9           6  0.30638860000000001        6.1060900000000000E-021
           5           9           9           5  0.30628260000000002       -1.0164110000000001E-020
           1           7           7           1  0.30589519999999998       -5.4606209999999999E-021
           2           7           7           2  0.30581930000000002       -8.4448450000000001E-021
           4           9           9           4  0.30501850000000003       -5.7946460000000003E-021
           3           9           9           3  0.30493720000000002       -2.7638540000000002E-022
           5          11          11           5  0.30317499999999997       -3.4905219999999999E-021
           1           9           9           1  0.30216539999999997       -4.4708969999999996E-022
           2           9           9           2  0.30201139999999999       -7.6872450000000003E-021
           2          25          25           2  0.30198000000000003        2.7101479999999999E-020
           6          11          11           6  0.30196030000000001       -1.7839440000000000E-021
           3          11          11           3  0.30106119999999997        2.0642359999999999E-021
